0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,target
4,3,4,4,4,4,4,4,3,3,4,4,5,5,5,5,5,6,6,6,5,4,4,3,2,1,1,2,2,2,1,0,0,2,2,2,5,6,8,8,8,7,6,6,7,9,12,14,16,17,18,17,17,17,17,16,16,15,14,13,13,12,11,11,10,9,9,8,8,7,7,6,5,5,5,6,5,6,6,7,7,6,5,5,4,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,2,2,1,1,0,1,2,2,4,3,3,3,4,4,4,5,5,5,6,7,8,8,9,9,9,8,8,7,6,6,5,5,4,4,3,3,3,3,4,4,4,4,4,5,6,6,6,6,5,6,5,6,7,8,8,9,9,8,8,8,1
3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,4,4,4,5,5,4,4,4,4,4,3,4,4,4,4,4,5,5,5,5,4,4,3,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,3,4,3,3,3,2,2,1,1,0,0,0,0,1,2,3,4,5,5,6,6,6,5,6,5,6,5,6,8,8,9,9,10,10,11,11,12,13,13,13,13,12,12,11,10,8,7,6,4,3,2,2,3,4,5,5,6,5,4,4,2,2,1,1,2,2,3,4,5,5,4,4,3,3,3,4,5,6,5,5,5,6,8,8,10,11,11,11,10,9,8,7,5,5,4,3,1
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,5,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,6,5,5,6,5,4,3,2,2,1,1,1,3,3,3,5,5,7,6,7,7,7,8,8,8,9,9,9,9,9,8,8,8,9,9,8,8,8,7,7,7,6,6,6,6,5,5,5,4,4,4,3,3,4,3,3,2,1,1,1,2,3,3,3,3,2,1,0,1,2,3,3,2,1,1,1,1,2,2,2,2,2,2,1,1,1,1,2,2,2,2,3,2,3,3,4,4,4,3,2,2,2,3,5,8,11,13,14,1
3,3,3,3,3,3,2,2,2,2,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,2,1,2,3,2,2,2,2,2,2,3,3,4,3,4,4,4,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,4,3,2,1,0,0,1,3,4,5,4,4,3,2,2,1,1,3,4,5,6,7,7,6,7,6,7,8,8,6,6,6,5,5,5,4,3,2,2,1,1,1,0,0,1,2,1
3,2,2,2,1,1,0,0,0,1,0,0,0,1,1,1,1,2,2,1,2,1,1,1,1,1,2,2,2,3,3,4,5,6,6,5,5,5,4,5,5,5,6,6,5,5,4,3,3,3,4,4,3,4,5,6,5,4,4,4,5,6,6,7,6,7,6,4,3,3,2,1,2,2,1,0,2,3,4,4,4,4,3,4,5,4,4,3,2,2,0,0,0,0,1,1,1,1,1,2,5,8,9,10,11,12,13,13,12,11,10,9,9,8,9,9,9,9,10,11,11,8,5,2,3,6,5,4,3,2,1,2,2,1,1,1,2,4,5,7,8,9,9,9,11,13,14,14,13,12,10,8,6,2,5,5,5,7,9,11,1
2,4,5,6,7,8,8,8,7,5,5,5,5,6,6,6,6,5,4,3,1,1,2,1,0,1,2,2,2,1,0,0,0,1,1,2,2,3,2,2,1,1,1,0,1,1,1,1,1,1,2,2,2,2,1,2,2,2,2,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,3,2,2,1,1,1,2,3,2,2,2,3,3,4,4,4,4,4,4,3,2,2,1,1,1,1,1,1,2,2,2,3,4,4,4,3,1,2,2,1,2,2,2,2,4,6,5,5,3,3,1,2,2,1,0,3,3,3,0,1,3,5,6,5,4,5,6,3,2,2,5,9,9,7,8,7,9,12,15,17,20,21,19,1
7,7,6,6,5,4,2,2,3,3,3,3,4,3,3,3,3,3,3,2,2,1,1,1,1,1,0,0,0,0,0,1,1,1,1,2,2,3,3,3,4,2,3,2,1,1,2,3,3,3,3,3,4,4,4,4,4,3,4,3,3,4,4,5,5,5,5,5,4,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,3,2,2,3,3,4,3,3,4,4,3,3,3,3,4,4,5,5,5,4,3,2,2,3,4,6,8,11,13,11,9,6,1,2,2,1,3,6,10,11,11,10,10,9,9,7,6,4,6,8,7,4,2,2,4,4,4,5,5,6,9,9,9,8,7,6,1
3,2,3,3,3,3,3,3,3,3,3,2,2,3,3,3,4,4,4,4,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,2,2,1,0,0,0,0,1,2,2,3,3,3,3,2,1,1,1,1,2,1,1,0,0,1,1,2,2,3,3,4,4,4,3,4,3,3,1,0,1,2,3,3,4,4,4,5,5,5,5,5,5,5,4,3,0,1,3,5,6,7,8,9,10,12,13,14,15,13,12,11,8,6,5,5,4,4,3,2,2,2,3,4,3,1,0,1,1,2,3,3,4,5,6,5,3,1,1,1
7,7,6,6,5,3,3,4,5,5,5,5,5,4,3,1,0,1,2,3,3,3,3,2,2,2,2,2,2,1,1,1,0,0,0,0,0,1,1,1,2,2,2,2,2,2,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,2,3,4,5,5,5,5,4,3,2,1,1,1,2,3,3,4,4,5,5,6,6,6,5,4,3,3,3,2,2,2,3,3,3,3,3,3,5,6,6,7,7,7,7,7,8,9,9,11,13,13,12,12,11,11,10,7,1
1,1,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,1,1,1,1,1,1,1,1,2,2,3,3,2,2,2,1,1,0,0,1,1,1,2,2,3,3,3,2,4,2,2,2,3,4,4,4,3,3,2,1,1,2,3,4,5,5,5,5,5,4,3,2,1,1,0,0,1,1,0,0,0,1,1,1,1,1,1,1,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,1,0,0,1,1,1,1,1,1,2,2,3,3,3,2,1,1,1,1,2,3,4,5,5,5,5,4,3,2,2,2,2,2,2,1,1,0,1,1,2,3,4,3,4,4,3,4,5,3,2,1
2,1,1,1,1,1,2,2,2,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,3,2,2,2,3,2,3,3,3,3,2,3,3,3,2,3,3,3,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,3,2,2,2,1,1,1,1,2,2,3,2,2,2,3,3,3,3,3,3,2,3,3,3,3,3,3,4,5,5,6,5,5,5,5,3,2,2,2,3,2,3,4,4,3,4,4,2,0,1,2,2,2,2,3,2,1,1,1,2,3,3,4,4,4,3,2,1,2,2,2,2,4,6,7,7,7,7,6,3,1,3,4,3,2,1,3,5,9,14,18,23,25,30,32,33,36,39,1
3,3,2,2,3,2,3,3,3,3,2,2,2,2,2,1,1,2,1,2,2,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,2,2,2,3,3,2,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,2,2,2,1,1,1,1,1,2,3,3,4,4,4,4,3,2,1,1,3,4,6,7,7,7,6,5,4,3,2,1,0,1,2,2,1,0,1,1,2,2,3,3,3,3,4,4,4,4,3,2,1,1,2,3,5,8,8,9,10,9,8,6,6,4,3,2,1,4,5,7,8,10,10,10,10,9,8,6,6,5,4,4,2,2,6,12,20,29,1
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,3,3,3,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,5,5,6,6,6,6,6,7,7,8,8,8,9,9,8,9,9,9,8,8,8,8,8,8,7,7,7,7,7,7,7,8,7,7,5,3,1,0,0,2,5,7,8,8,7,7,5,4,5,6,6,6,6,5,3,2,0,1,2,4,6,7,8,8,7,5,4,3,5,9,11,9,7,5,5,6,10,15,19,23,27,31,35,38,40,41,40,39,36,33,30,28,26,23,21,21,21,1
13,13,14,14,13,12,13,13,12,10,7,5,4,6,9,12,15,15,15,14,14,12,11,10,8,7,7,5,4,4,6,8,11,12,14,14,14,14,13,11,10,8,6,5,4,4,4,2,2,1,1,2,3,5,5,4,4,2,2,2,1,1,0,0,0,2,2,3,4,6,7,8,9,8,9,10,10,11,11,12,14,14,15,16,16,17,17,17,16,15,16,16,16,16,15,14,14,14,15,15,15,15,14,10,11,8,6,9,9,8,9,6,4,6,6,5,5,5,7,7,7,9,7,8,9,9,10,11,11,11,9,7,6,7,7,7,7,8,8,9,10,12,12,10,9,9,10,10,9,8,8,10,11,12,12,9,6,4,4,5,1
2,4,6,7,8,9,8,8,7,5,3,1,1,0,3,3,2,2,2,3,3,3,5,5,5,5,6,5,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,2,3,3,3,4,4,4,5,5,5,4,4,5,5,5,5,5,6,6,6,5,5,4,4,4,4,5,4,3,3,4,6,7,7,7,7,7,7,6,5,4,4,4,5,5,5,6,5,6,6,7,7,7,8,8,9,10,11,12,14,15,17,18,19,20,21,21,21,21,21,20,19,18,16,14,12,10,9,6,5,3,3,4,6,8,9,10,10,10,9,8,7,6,6,4,3,1,2,4,6,7,8,8,7,6,5,7,11,14,15,14,14,15,14,14,11,7,1
3,3,3,4,4,5,6,7,6,6,5,5,6,6,7,6,5,5,5,4,4,5,5,5,6,7,7,7,7,7,7,7,6,7,6,6,7,7,7,6,6,6,7,7,7,7,7,7,7,6,6,6,6,6,6,6,7,7,7,6,6,6,5,5,5,5,6,5,4,4,5,5,5,4,5,4,4,3,2,2,1,1,2,4,4,4,6,7,8,8,7,3,0,3,5,6,8,10,11,12,12,12,11,10,8,6,4,4,3,4,4,5,7,7,8,8,9,9,10,10,10,10,10,9,9,8,7,7,7,6,6,5,5,4,4,3,3,2,2,4,7,5,3,3,5,8,9,11,14,22,27,27,24,20,16,13,12,11,11,12,1
3,4,4,4,3,2,2,1,1,0,0,0,1,1,1,1,1,1,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,3,2,1,1,1,1,1,1,0,1,1,1,1,2,2,3,3,3,3,3,3,4,3,3,3,2,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,4,1,1,0,0,0,1,1,1,2,2,2,1,2,3,2,3,3,3,4,4,4,4,4,3,2,1,1,1,2,2,3,3,4,4,4,4,3,2,2,1,1,0,0,0,1,1,2,2,2,1,1,1,1,0,0,0,0,1,2,2,3,4,5,6,7,7,8,8,8,7,6,6,6,6,1
1,1,0,0,0,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,3,3,3,3,3,3,2,3,3,3,2,2,2,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,2,2,3,3,3,3,3,4,3,4,4,5,5,5,7,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4,4,3,2,1,1,2,3,3,4,4,4,4,5,5,6,6,7,8,8,9,9,10,9,9,8,6,4,2,0,2,4,7,10,12,14,15,16,15,14,13,12,11,9,9,8,7,6,4,3,3,1,3,7,9,8,6,6,8,9,9,11,8,9,11,9,7,5,5,5,5,7,1
2,2,3,4,5,6,6,5,4,3,2,1,1,2,4,3,3,2,2,2,2,4,4,4,5,5,4,5,5,4,3,2,2,2,3,3,4,4,4,3,3,2,1,2,3,2,1,0,0,0,1,1,1,1,0,0,1,1,2,2,2,3,3,3,3,3,3,3,3,2,1,1,1,0,1,1,1,2,3,2,2,2,3,3,3,4,4,4,4,3,3,3,3,2,3,3,3,3,3,4,2,2,1,1,1,2,2,2,2,3,3,2,2,2,2,3,3,3,3,4,4,4,4,3,3,2,2,3,3,2,1,0,0,1,2,3,2,1,1,1,0,2,4,6,7,8,11,12,12,12,10,8,6,3,2,1,2,2,2,1,1
5,5,4,4,4,4,3,3,3,3,2,1,1,2,1,1,0,1,0,0,0,1,1,2,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,3,3,3,3,3,3,3,3,3,4,4,4,3,3,2,1,1,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,3,3,4,5,6,6,7,7,6,6,6,6,6,6,5,4,4,3,3,2,3,4,5,4,3,3,2,1,1,2,2,3,4,4,2,0,1,2,3,1,0,0,0,1,2,3,4,5,4,4,3,4,4,1
2,2,2,2,2,2,2,1,1,1,0,0,0,1,1,2,2,2,3,3,3,3,3,3,3,3,3,2,2,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,3,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,1,1,2,2,2,3,3,3,3,1,3,9,17,1
3,2,1,1,0,0,1,1,1,2,2,3,4,4,5,6,6,7,8,8,9,9,8,7,4,2,5,3,5,9,13,16,19,20,21,19,16,11,8,8,7,5,5,6,7,7,6,5,3,1,3,1,0,2,3,4,4,4,4,4,3,2,1,1,1,2,2,3,4,4,3,3,3,3,3,3,3,3,3,4,3,4,4,4,4,4,3,3,3,3,3,3,3,3,4,4,4,5,4,4,5,5,5,5,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,2,2,3,3,4,4,3,3,3,3,2,3,3,3,4,3,2,2,2,3,3,4,4,5,4,3,3,2,1,0,0,0,2,1
6,6,6,6,5,5,5,5,5,4,3,1,1,1,1,2,2,2,2,3,3,4,4,4,3,3,3,3,3,2,1,0,1,2,2,2,2,2,2,3,4,5,5,3,2,3,3,4,4,3,3,2,1,2,2,3,5,5,5,5,4,2,3,5,7,7,7,7,7,5,4,4,3,3,4,6,7,7,7,6,7,7,6,6,7,7,7,6,5,6,8,9,8,8,7,6,5,6,4,3,1,1,2,4,6,8,8,9,10,10,10,10,10,11,10,12,15,17,21,24,26,27,27,26,24,23,22,21,19,15,11,7,5,2,3,6,8,8,6,4,3,3,3,5,8,7,8,7,5,3,6,7,5,6,5,7,8,9,8,7,1
3,2,1,0,2,1,0,1,2,2,2,2,2,2,2,1,1,1,1,1,0,0,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,4,3,3,4,4,4,4,5,4,4,5,5,5,5,5,4,4,4,3,3,4,4,4,4,3,4,4,3,3,3,3,3,2,2,1,1,0,0,1,1,2,2,3,5,6,7,7,6,6,6,6,5,5,3,2,1,0,2,4,5,5,6,6,5,5,4,4,4,4,4,5,6,6,6,7,6,6,5,5,4,4,3,2,2,2,1,1,1,1,2,2,3,3,3,3,3,3,4,4,4,3,3,2,1,1,1
3,3,3,4,5,6,7,8,8,8,9,9,11,12,12,13,13,12,11,9,7,5,4,3,3,3,3,3,3,4,3,3,3,3,3,4,5,4,4,4,3,3,3,2,3,2,2,2,2,1,1,0,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,3,3,3,4,4,4,4,4,4,3,3,2,2,2,2,2,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2,3,3,4,5,5,6,6,5,5,4,3,2,1,1,0,1,1,2,1,1,0,0,0,0,1,1,2,3,4,5,5,6,8,8,9,9,10,10,9,8,8,7,7,7,7,5,5,5,4,5,6,7,8,9,10,10,10,9,1
1,2,2,2,1,1,1,1,1,1,0,1,1,2,2,2,2,2,1,1,2,2,1,2,2,1,1,2,2,2,2,1,2,1,1,1,0,0,0,0,0,0,0,1,1,2,3,3,4,3,3,4,4,4,3,4,5,5,6,6,5,5,5,5,5,4,4,3,2,2,1,2,2,3,3,2,2,2,1,2,3,3,3,4,5,7,7,7,7,7,6,6,6,5,4,5,5,5,5,4,4,5,4,4,4,4,3,3,2,2,1,1,1,1,0,0,1,0,0,0,1,1,2,2,3,3,3,5,5,7,6,4,3,2,2,4,5,6,8,9,9,9,8,7,5,6,0,8,14,13,7,4,4,4,4,4,3,5,7,9,1
3,3,3,4,4,5,5,5,4,3,3,2,2,2,3,5,5,5,4,4,4,4,3,3,3,2,2,2,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,4,4,5,4,5,5,5,5,4,4,4,3,4,4,4,4,4,3,3,2,1,1,0,0,1,1,2,3,2,0,0,0,1,1,2,2,3,3,4,4,4,4,3,2,4,8,13,19,23,27,28,27,26,23,20,17,11,4,3,2,8,7,8,10,9,7,8,8,11,11,11,13,13,6,9,6,8,6,8,6,7,7,4,4,5,4,1
5,5,5,5,5,5,5,5,5,4,5,4,4,4,5,5,5,5,6,5,5,6,6,5,5,5,6,6,6,6,7,6,6,6,5,5,5,5,5,6,5,5,5,5,5,4,4,4,4,4,5,5,5,4,4,5,6,6,6,7,7,7,7,7,7,7,8,7,7,8,6,5,4,3,3,2,1,0,0,1,2,2,2,2,2,2,2,3,2,1,2,2,2,1,1,1,1,2,1,1,2,3,2,2,3,4,5,5,6,7,7,8,9,10,11,11,12,12,12,13,13,12,12,11,11,10,10,10,10,9,9,8,8,8,8,8,8,8,7,7,7,6,6,5,4,4,4,4,3,4,4,3,3,3,4,3,4,3,4,5,1
1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,2,1,2,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,1,1,1,2,3,3,2,2,2,2,2,2,1,1,1,1,1,1,2,2,3,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,3,2,2,1,1,1,1,1,1,1,2,2,3,4,4,5,6,5,4,2,1,3,2,0,1,1,0,2,2,3,6,9,10,10,9,8,8,6,5,3,2,1,1,1,0,2,4,5,5,5,4,4,1
5,5,5,5,5,5,5,5,6,6,7,7,7,7,7,7,7,7,6,6,5,4,4,3,3,2,2,2,1,2,3,4,4,5,4,4,3,4,3,2,1,1,0,1,2,2,3,4,4,4,5,4,4,4,3,2,2,2,2,1,2,2,2,2,2,1,1,0,1,3,5,8,9,9,9,8,7,7,7,7,6,6,5,4,3,2,0,1,2,3,4,4,4,5,5,5,6,5,5,5,4,3,3,2,2,1,1,2,3,3,4,5,6,6,6,6,7,6,6,6,5,4,5,4,4,5,6,6,6,6,6,6,5,5,5,6,5,5,5,6,7,5,6,5,5,4,3,3,3,2,1,0,0,1,2,2,0,0,1,2,1
3,4,5,6,6,6,6,6,6,5,4,5,5,5,6,6,5,5,4,3,2,3,5,4,4,3,3,3,3,3,3,4,5,4,4,3,3,2,2,2,1,2,2,2,2,2,3,3,3,3,3,4,3,3,3,3,4,3,3,2,2,2,2,2,3,4,5,5,5,5,5,5,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,5,5,5,6,6,7,7,6,6,6,6,7,6,4,2,0,0,0,2,4,5,5,4,2,2,4,7,9,11,10,8,6,5,5,8,10,12,12,10,7,7,10,10,9,10,12,13,14,15,17,19,18,16,14,11,10,10,9,9,9,11,12,12,10,7,7,7,9,3,4,4,1,5,1
